,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,"
North America
","69,421,231","+21,481","1,252,789",+94,"50,943,425","+3,847","17,225,017","26,791",,,,,,North America,"
",,,,,
1,,"
Asia
","85,521,501","+18,022","1,259,808",+109,"82,321,089","+9,106","1,940,604","26,952",,,,,,Asia,"
",,,,,
2,,"
South America
","40,306,074","+11,179","1,193,430",+39,"37,776,451","+1,757","1,336,193","13,195",,,,,,South America,"
",,,,,
3,,"
Europe
","92,192,607","+51,312","1,541,713",+322,"76,513,808","+72,226","14,137,086","22,488",,,,,,Europe,"
",,,,,
4,,"
Africa
","10,024,573",+122,"230,304",,"8,858,270",+496,"935,999","2,246",,,,,,Africa,"
",,,,,
5,,"
Oceania
","850,858","+72,570","4,572",+13,"468,602",+83,"377,684",242,,,,,,Australia/Oceania,"
23,16,Mexico,"4,029,274","+20,626","299,805 ",+94,"3,321,943","+3,300","407,526","4,798","30,763","2,289","12,515,177","95,551","130,978,457 ",North America,33,437,10,157,0.7,"3,111"
24,17,Ukraine,"3,689,291","+6,632","96,896 ",+187,"3,500,914","+9,121","91,481",177,"85,131","2,236","16,898,750","389,941","43,336,671 ",Europe,12,447,3,153,4,"2,111"
25,18,South Africa,"3,494,696",,"91,561 ",,"3,249,738",,"153,397",546,"57,823","1,515","21,394,263","353,988","60,437,755 ",Africa,17,660,3,,,"2,538"
26,19,Netherlands,"3,223,325",,"21,029 ",,"2,751,890",,"450,406",454,"187,488","1,223","21,107,399","1,227,734","17,192,156 ",Europe,5,818,1,,,"26,198"
27,20,Philippines,"2,871,745",,"51,662 ",,"2,780,109",,"39,974",899,"25,690",462,"25,430,155","227,495","111,783,156 ",Asia,39,"2,164",4,,,358
28,21,Malaysia,"2,773,156",,"31,609 ",,"2,701,808",,"39,739",257,"84,055",958,"41,683,576","1,263,440","32,992,128 ",Asia,12,"1,044",1,,,"1,204"
29,22,Czechia,"2,510,796","+7,377","36,449 ",+20,"2,372,033",+226,"102,314",482,"233,802","3,394","47,300,975","4,404,598","10,738,999 ",Europe,4,295,0,687,2,"9,527"
30,23,Canada,"2,394,690",,"30,524 ",,"2,003,770",,"360,396",455,"62,619",798,"53,389,738","1,396,104","38,241,957 ",North America,16,"1,253",1,,,"9,424"
31,24,Peru,"2,318,543",,"202,904 ",,N/A,N/A,N/A,910,"68,870","6,027","21,999,418","653,475","33,665,283 ",South America,15,166,2,,,"11,732"
32,25,Thailand,"2,245,250","+5,775","21,780 ",+11,"2,185,502","+2,673","37,968",588,"32,045",311,"17,270,775","246,498","70,064,607 ",Asia,31,"3,217",4,82,0.2,542
33,26,Belgium,"2,179,710","+27,796","28,429 ",+22,"1,826,655","+12,279","324,626",503,"186,846","2,437","27,626,818","2,368,184","11,665,824 ",Europe,5,410,0,"2,383",2,"27,827"
34,27,Iraq,"2,095,183",,"24,191 ",,"2,066,369",,"4,623",65,"50,384",582,"16,877,259","405,859","41,584,083 ",Asia,20,"1,719",2,,,111
35,28,Romania,"1,821,849",,"58,896 ",,"1,749,204",,"13,749",409,"95,667","3,093","17,286,981","907,752","19,043,736 ",Europe,10,323,1,,,722
36,29,Vietnam,"1,817,721",,"33,475 ",,"1,436,046",,"348,200","6,257","18,424",339,"75,268,432","762,897","98,661,349 ",Asia,54,"2,947",1,,,"3,529"
37,30,Chile,"1,814,188",,"39,177 ",,"1,734,871",,"40,140",488,"93,688","2,023","27,589,099","1,424,759","19,364,042 ",South America,11,494,1,,,"2,073"
38,31,Japan,"1,739,353","+2,506","18,398 ",+1,"1,713,188",+234,"7,767",64,"13,816",146,"29,583,351","234,991","125,891,351 ",Asia,72,"6,843",4,20,0.01,62
39,32,Bangladesh,"1,588,807",,"28,090 ",,"1,550,168",,"10,549","1,349","9,504",168,"11,586,901","69,313","167,167,305 ",Asia,105,"5,951",14,,,63
