,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,"
North America
","69,421,231","+21,481","1,252,789",+94,"50,943,425","+3,847","17,225,017","26,791",,,,,,North America,"
",,,,,
1,,"
Asia
","85,521,501","+18,022","1,259,808",+109,"82,321,089","+9,106","1,940,604","26,952",,,,,,Asia,"
",,,,,
2,,"
South America
","40,306,074","+11,179","1,193,430",+39,"37,776,451","+1,757","1,336,193","13,195",,,,,,South America,"
",,,,,
3,,"
Europe
","92,192,607","+51,312","1,541,713",+322,"76,513,808","+72,226","14,137,086","22,488",,,,,,Europe,"
",,,,,
4,,"
Africa
","10,024,573",+122,"230,304",,"8,858,270",+496,"935,999","2,246",,,,,,Africa,"
",,,,,
5,,"
Oceania
","850,858","+72,570","4,572",+13,"468,602",+83,"377,684",242,,,,,,Australia/Oceania,"
",,,,,
6,,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,
7,,World,"298,317,565","+174,686","5,482,631",+577,"256,882,351","+87,515","35,952,583","91,914","38,271",703.4,,,,All,"
",,,,,
8,1,USA,"58,805,186",,"853,612 ",,"41,999,896",,"15,951,678","20,938","176,098","2,556","826,586,018","2,475,292","333,934,783 ",North America,6,391,0,,,"47,769"
9,2,India,"35,109,286",,"482,876 ",,"34,342,255",,"284,155","8,944","25,069",345,"685,305,751","489,331","1,400,494,834 ",Asia,40,"2,900",2,,,203
10,3,Brazil,"22,351,104",,"619,559 ",,"21,567,845",,"163,700","8,318","104,035","2,884","63,776,166","296,852","214,841,765 ",South America,10,347,3,,,762
11,4,UK,"13,835,334",,"149,284 ",,"10,567,672",,"3,118,378",911,"202,198","2,182","414,403,831","6,056,346","68,424,733 ",Europe,5,458,0,,,"45,574"
12,5,France,"10,921,757",,"124,809 ",,"8,335,903",,"2,461,045","3,333","166,765","1,906","188,795,159","2,882,732","65,491,742 ",Europe,6,525,0,,,"37,578"
13,6,Russia,"10,585,984",,"313,015 ",,"9,600,728",,"672,241","2,300","72,492","2,144","241,900,000","1,656,520","146,029,016 ",Europe,14,467,1,,,"4,603"
14,7,Turkey,"9,718,861",,"83,075 ",,"9,192,167",,"443,619","1,128","113,393",969,"120,595,094","1,407,020","85,709,562 ",Asia,9,"1,032",1,,,"5,176"
15,8,Germany,"7,342,216",,"113,902 ",,"6,626,500","+44,700","601,814","4,636","87,211","1,353","89,622,218","1,064,540","84,188,702 ",Europe,11,739,1,,,"7,148"
16,9,Spain,"6,922,466",,"89,837 ",,"5,124,221",,"1,708,408","2,005","147,972","1,920","66,213,858","1,415,366","46,782,142 ",Europe,7,521,1,,,"36,518"
17,10,Italy,"6,756,035",,"138,276 ",,"5,196,642",,"1,421,117","1,428","111,989","2,292","144,315,182","2,392,197","60,327,477 ",Europe,9,436,0,,,"23,557"
18,11,Iran,"6,201,467",,"131,778 ",,"6,045,890",,"23,799","2,350","72,433","1,539","42,484,271","496,218","85,616,188 ",Asia,14,650,2,,,278
19,12,Argentina,"5,915,695",,"117,346 ",,"5,390,524",,"407,825","1,396","129,101","2,561","28,646,641","625,170","45,822,143 ",South America,8,390,2,,,"8,900"
20,13,Colombia,"5,219,633",,"130,140 ",,"4,997,384",,"92,109",342,"100,956","2,517","29,980,901","579,880","51,701,909 ",South America,10,397,2,,,"1,782"
21,14,Indonesia,"4,264,136",,"144,109 ",,"4,115,149",,"4,878",,"15,345",519,"64,422,368","231,826","277,891,506 ",Asia,65,"1,928",4,,,18
22,15,Poland,"4,162,715",,"98,666 ",,"3,675,359",,"388,690","1,854","110,171","2,611","27,600,081","730,471","37,783,974 ",Europe,9,383,1,,,"10,287"
