title,link
Corruption blights Kenya's quest for football glory,{'https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lbi9saXZlLW5ld3MvMjAyMTExMjMtY29ycnVwdGlvbi1ibGlnaHRzLWtlbnlhLXMtcXVlc3QtZm9yLWZvb3RiYWxsLWdsb3J50gFiaHR0cHM6Ly9hbXAuZnJhbmNlMjQuY29tL2VuL2xpdmUtbmV3cy8yMDIxMTEyMy1jb3JydXB0aW9uLWJsaWdodHMta2VueWEtcy1xdWVzdC1mb3ItZm9vdGJhbGwtZ2xvcnk?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Leveraging Reform: Fighting Corruption in Post-Election DR Congo - Democratic Republic of the Congo,{'https://news.google.com/articles/CAIiELXOk6P4J4UCaW-XttJmOC0qGQgEKhAIACoHCAow4OH9CjCg6_UCMJ-42gU?uo=CAUic2h0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvZGVtb2NyYXRpYy1yZXB1YmxpYy1jb25nby9sZXZlcmFnaW5nLXJlZm9ybS1maWdodGluZy1jb3JydXB0aW9uLXBvc3QtZWxlY3Rpb24tZHItY29uZ2_SAQA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
"$1.5 billion Congo Basin pledge a good start but not enough, experts say",{'https://news.google.com/articles/CAIiEK5qw1hxQ8QfPEhuQFjtt8YqMwgEKioIACIQ65Pnd-s87Ky7YVAI7KgDCSoUCAoiEOuT53frPOysu2FQCOyoAwkwiYLEBg?uo=CAUiaWh0dHBzOi8vbmV3cy5tb25nYWJheS5jb20vMjAyMS8xMi8xLTUtYmlsbGlvbi1jb25nby1iYXNpbi1wbGVkZ2UtYS1nb29kLXN0YXJ0LWJ1dC1ub3QtZW5vdWdoLWV4cGVydHMtc2F5L9IBAA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
"On Democracy, Middle East Can Benefit From Biden's Summit",{'https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LndvcmxkcG9saXRpY3NyZXZpZXcuY29tL3RyZW5kLWxpbmVzLzMwMTUzL29uLWRlbW9jcmFjeS1taWRkbGUtZWFzdC1jYW4tYmVuZWZpdC1mcm9tLWJpZGVuLXMtc3VtbWl00gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
DRC: Fake statement attributed to Transparency…,{'https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnRyYW5zcGFyZW5jeS5vcmcvZW4vcHJlc3MvZHJjLWRlbW9jcmFjdGljLXJlcHVibGljLWNvbmdvLXNvY2lhbC1tZWRpYS1mYWtlLW5ld3MtYWxlcnTSAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Zambia's Hichilema urged to walk the talk after 'slow' start,{'https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnRoZWNpdGl6ZW4uY28udHovdGFuemFuaWEvbmV3cy9hZnJpY2EvemFtYmlhLXMtaGljaGlsZW1hLXVyZ2VkLXRvLXdhbGstdGhlLXRhbGstYWZ0ZXItc2xvdy1zdGFydC0zNjM3MzE20gGBAWh0dHBzOi8vd3d3LnRoZWNpdGl6ZW4uY28udHovdGFuemFuaWEvbmV3cy9hZnJpY2EvemFtYmlhLXMtaGljaGlsZW1hLXVyZ2VkLXRvLXdhbGstdGhlLXRhbGstYWZ0ZXItc2xvdy1zdGFydC0zNjM3MzE2P3ZpZXc9aHRtbGFtcA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Congo-Kinshasa: Underpaid and Under Fire - the Risky Business of Monitoring Congo's Volatile Volcano,{'https://news.google.com/articles/CAIiEAFd4sen8MrTWmnjErE3OjgqFggEKg4IACoGCAowpa8mMJL_BTCBtQY?uo=CAUiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMjExMTI0MDUxMy5odG1s0gEA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
Congo arrests former health minister over missing COVID funds,{'https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmFmcmljYW5ld3MuY29tLzIwMjEvMDgvMjgvY29uZ28tYXJyZXN0cy1mb3JtZXItaGVhbHRoLW1pbmlzdGVyLW92ZXItbWlzc2luZy1jb3ZpZC1mdW5kcy_SAWhodHRwczovL3d3dy5hZnJpY2FuZXdzLmNvbS9hbXAvMjAyMS8wOC8yOC9jb25nby1hcnJlc3RzLWZvcm1lci1oZWFsdGgtbWluaXN0ZXItb3Zlci1taXNzaW5nLWNvdmlkLWZ1bmRzLw?hl=en-KE&gl=KE&ceid=KE%3Aen'}
UK Fraud Watchdog Digs into Alleged Mine Bribes in DR Congo,{'https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3Lm9jY3JwLm9yZy9lbi9kYWlseS8xNDg5Ny11ay1mcmF1ZC13YXRjaGRvZy1kaWdzLWludG8tYWxsZWdlZC1taW5lLWJyaWJlcy1pbi1kci1jb25nb9IBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
DR Congo president's ex-chief of staff jailed 20 years for corruption,{'https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmFmcmljYW5ld3MuY29tLzIwMjAvMDYvMjAvYW50aS1jb3JydXB0aW9uLXRyaWFsLWluLWRyYy1rYW1lcmhlLXNlbnRlbmNlZC10by0yMC15ZWFycy1oYXJkLWxhYm91ci_SAXFodHRwczovL3d3dy5hZnJpY2FuZXdzLmNvbS9hbXAvMjAyMC8wNi8yMC9hbnRpLWNvcnJ1cHRpb24tdHJpYWwtaW4tZHJjLWthbWVyaGUtc2VudGVuY2VkLXRvLTIwLXllYXJzLWhhcmQtbGFib3VyLw?hl=en-KE&gl=KE&ceid=KE%3Aen'}
